mu sigma
2.8120219126164727 5.468784374678613
3.2413850280727003 4.1474340901910045
1.8734657659089748 5.151548059143116
2.1426999515820926 5.341932155602244
3.7232132461890517 4.724548217144626
2.93032992660686 5.451023775020415
3.4241372672049373 5.269563090620858
3.0637597744366305 5.4221153317591755
3.4770398894439496 5.223336240888808
3.715197853505987 4.809722418510209
2.1204096440003966 4.199191957315621
3.2485393774582505 5.353533472244285
2.178195095325679 5.3460915623397955
2.991053941593857 4.077294486260633
2.2486240925816507 5.373604289947868
2.0608813302300066 5.277622355125063
3.706303927171682 4.790529929339096
2.4257909295871256 5.417366454776637
3.491606203738921 5.192045359475403
3.3458901691145204 4.222379192461199
3.2056004510211933 4.150925125741459
1.8192815953250763 5.0332715317170535
3.507421844899265 5.173488062104933
2.1020908067158834 4.22127807566366
2.1561010704931736 5.320471071417508
3.4763281921977818 5.199539620809192
2.2368690773998234 5.354963692253406
3.067910839202661 5.398196682294218
3.6454914035056896 4.54468231091548
1.8637647828733894 5.088364911372645
2.967519760011059 5.414769884357665
2.6027594367061537 4.06721611726544
3.45222093741445 4.3082695508003255
2.035315638601114 4.2748624949894145
2.114130338570399 5.286872005328754
2.1091906250110544 4.225644387350606
2.264601546105938 5.354046716062383
1.8502106121079236 4.469795758943295
1.8207275924628563 5.002771073351814
3.318545499116761 5.286897912240928
2.5129604802830494 5.410206564930638
3.273007157393547 5.3055229965945285
2.1100575652923546 5.271702985539678
1.8044612219466794 4.575679347019048
3.618981504260779 4.989023342483821
3.451983258078845 4.321435478725814
3.4073837220092167 5.221597200147282
3.4716599073177696 4.3418960206794495
3.470294215395821 5.168753605851261
3.4621719191985005 5.175597641365059
3.0535493680797936 5.3771376462814615
2.9249674411854683 5.4026640467885585
3.287591256388485 5.28968869907105
1.821174012104509 4.968471983377109
1.9443315245140598 5.137736441060304
1.8052226107697105 4.605459808865685
3.100063503712514 5.35644458481344
2.0556661204341853 5.2195370293902155
3.4230871621446326 4.311429328213549
2.2096561071444407 4.192021683706841
2.3278586146529587 5.34739293636246
2.5407796165930825 4.093413460333164
3.5948802478644732 4.520839641335522
2.198348401101868 5.2935166493253805
3.137455507178349 5.336394096480089
2.54156021757284 5.390682146534955
3.5903052061625367 4.992371798044733
3.634479363171276 4.885185945225201
3.618810809486394 4.581702749001732
2.631731248315356 5.393053159701716
3.0123741813092533 5.360739304149515
3.517845975679405 5.078361241051134
2.202146887834879 5.281694493626276
3.6171049442039553 4.899482377077922
1.8756395226675098 5.000169283392597
2.2211001622187614 5.284351006609888
2.148116624776015 5.247317826256646
2.6750034109777134 5.383590954939051
3.0605171380464187 4.14220497494319
1.812248748209773 4.78451404971827
3.616680544386945 4.871710385291391
3.2569751350954186 4.222857879385523
2.496438112236901 4.1152220650605855
3.6261677970389834 4.80370644471066
3.5643497583956716 4.988082158938077
1.9400425200956362 4.426259960071538
2.4198129825873287 4.135625181373953
1.8319980725045242 4.6385500242467925
3.488568830058573 4.409727284872194
3.6154563627642817 4.841575068515304
1.8547117830224802 4.924697360894163
2.658085651045465 5.373874545935225
3.5099052842720058 5.055582449728182
1.8432955590201465 4.886395997993712
1.8717135572923422 4.95323820259849
2.9557564490056936 5.348187849235998
2.257411375851755 5.280390932190155
1.977831222413124 5.0954400016962955
1.9519931028699515 4.42878295224991
1.9061314655047017 4.494571826614983
3.597219248292677 4.634739029613987
2.4964107567356235 4.126492015936
1.8852761928249233 4.96317281596286
1.9017582145293548 4.503837481420236
2.4139842237634452 4.146864165439034
1.9283858773288758 4.464138280193191
2.497229273961726 4.1277494865158975
3.0495973302317636 4.153494899728656
3.4997632203692524 4.444879163007917
3.374265541346615 4.317784685651582
1.8439681465706421 4.834194847554772
1.882783392926941 4.54932346244102
3.58181707203933 4.629379289744994
2.871283756304988 4.12348034480694
1.9255608736456291 4.492767223668244
2.3235500915343854 5.284836003143159
1.8931971461935508 4.934932242063922
3.455855533692873 4.414570095270185
2.3269876427296694 4.188032479080194
3.345526028158817 5.16540510728365
2.4884120262952365 4.142002665426283
3.336121918046337 4.307123529285403
1.9585010969160166 4.454597847168639
2.6657469147735533 5.343153373970497
3.2429069514440374 5.2248082491691346
1.934863005111513 4.995130218350203
3.376206740839839 4.3408858812222295
2.2783463168432174 4.210886724020496
2.527892531291584 5.326934608268832
2.3630570317240567 4.179208726067972
2.501095636159021 5.320991353830085
1.8987598545552458 4.918300659611187
1.8628108093097446 4.722460888714101
3.419070439050134 4.385291467005651
1.9505084180988446 5.0074618490424205
2.1811032338917946 4.264833159409108
2.5831873396053426 5.3303654169164805
1.900830265136233 4.915674612968698
1.916048473457388 4.536782154890565
1.8727062307499631 4.679452357628463
1.8863807771634984 4.8659315756521195
2.2246439103937723 4.243431192911663
2.103266715259905 5.151356442253632
3.561228694898044 4.640601508001798
3.544897485249363 4.891762284327092
2.3344430126925966 5.267942407413592
2.6927294288549626 4.128241345054827
2.0264554905672627 5.081312135961142
2.3790886522245582 5.279125988536659
1.9229526348652688 4.9321655086417575
3.3409770347582124 4.329825461559018
2.721420228997864 5.325053940009884
1.8825173994034943 4.691798973356175
3.485468970295455 4.9860749197653185
1.9429925014850669 4.961538478706171
3.054366766397611 5.275311161950636
3.5598058720138335 4.729593755966243
3.5582066905134275 4.721415481117747
2.772838183485784 4.136531208967477
1.8905396664055119 4.685522507097399
2.349478588532486 5.258306306605743
3.5536190114668686 4.708800419684854
3.537308825267645 4.619048590822821
3.4868043945824008 4.967712938526093
1.9547690938417606 4.510560235076726
3.530627254296677 4.872814392988275
3.259675510300693 4.283687865265886
3.2955269212154463 5.157682675690502
3.0933506384872933 4.2032775975936705
3.4068233905214913 4.403503382457833
3.2950559155607833 5.153316219017712
2.0410151824021887 4.406058552956167
2.738953117093799 5.308337278018068
3.3134106829396344 4.3279415203493
1.9378727990711697 4.909598603106109
2.0240165945179998 4.427797669710638
2.039655179948108 5.055553670536565
2.4139326567566135 4.189371715157371
3.2948683571904036 5.144693056691737
1.9237726930821601 4.859087936752956
1.9637825635153532 4.519817443717564
3.4705585451403076 4.964766185145595
1.9248421320344637 4.859943768296362
2.769084503180334 5.301215783056526
2.9896677936912437 4.180566310239357
2.4782854217982324 5.275682079055793
2.5518769583778234 5.288810627102809
2.5175825837852295 4.166934109209062
3.516612328590403 4.620994422773941
2.6102397011906526 4.155964439458657
2.0168856485863085 5.012077439920716
2.4989647299743556 5.272897045892144
2.933668364973347 4.173737470801147
3.323128778670457 5.10792209028417
1.9207959225448101 4.681753169477599
3.312444675156583 5.115246804838005
3.524426906869178 4.723597116900736
3.506604304196872 4.849470723180619
3.4929549828737927 4.578988900271575
2.0849038409921055 5.071676301557765
3.3682673661999645 5.062321375238125
2.329371401046556 5.217958618672748
2.772535953370396 4.158296639713019
2.743409250783732 5.286264987551904
3.512009979553892 4.663813294398213
3.473162460518351 4.546101032707988
3.0575098464514543 5.2334756397343885
3.351017265615383 4.386343038324972
2.194997954900634 4.306874294714498
2.682159285162809 4.160673147547623
3.047642500891457 5.233911298749099
2.1795630211597787 4.318267291358734
1.9309596139830192 4.722721653119848
2.4141454213821922 5.2380697554496605
1.9411434415665463 4.646395096090265
3.492680276970379 4.853177268738894
3.3698211354231455 4.409228162600788
2.553489016980817 5.266679055566405
1.93425002748708 4.726319282449671
3.4490220352554135 4.942188032113416
2.4146267288327348 5.234861850018691
3.5078641614385155 4.74533313144425
2.5516756497266724 4.177291326941228
3.200427402870994 4.284633927306399
2.5746561013081024 4.175165624048814
2.110131943695341 4.379945416149455
2.5367828758569426 4.18166707611053
3.4938301833063594 4.813156576853589
2.3435915805920224 4.238948934778662
3.024464257490731 4.21283618725377
2.511186359718585 5.249771491903596
2.2685962794533236 5.169504881383798
2.5486951332184598 5.254982922985269
3.096771191618908 5.2016630998760816
3.4606228702735864 4.563789715554497
1.9483143880493536 4.749364665236064
2.1228952757399124 5.071328408066842
1.9556497769283627 4.668425260357786
1.992391060591971 4.902778628711212
2.9638661515886584 5.236320601609885
2.992959811513706 5.229042384538067
2.253034872047433 5.153476759796526
2.8147864163600573 5.258734854203255
2.342707733983023 5.1927130902862935
2.0282495865455976 4.495472441701715
1.957591015930506 4.758712758615947
1.9950866674847578 4.559561449118395
2.3623586920494506 4.242989808354926
3.371987030584135 4.44249146183303
3.481454664325179 4.679609484801058
3.4764468830135273 4.804369060283301
1.9607004447540122 4.737634566176223
3.4736298281854183 4.804565701915403
2.7548404422973722 5.254313095942624
3.2952911000723417 5.074219622135533
2.9574512980824936 4.20749927967816
2.2260590465981793 4.315507284461095
2.8956170059519426 5.238821196242506
2.1478972866038104 4.3735153068269135
3.4656764770570367 4.817228328811952
3.3104446174471542 5.055840500610714
1.970152126668831 4.713127847599612
2.8085667173315794 5.244076858787132
2.0619728163982987 4.976700785325146
3.452690476404407 4.604075611753409
2.901246052126547 4.200302077470315
3.4716818838033063 4.716715178063912
3.354753392416412 5.007006725835209
2.7444662710419476 5.245729208842837
2.3312179173957315 4.265660803298029
2.67458020690618 5.244425651822301
2.3946151154896955 5.1936948303634605
2.4432641372245136 5.20788672351264
2.1292372051765884 5.042609959155406
2.032267124940245 4.924757481926782
3.2279768279548007 5.107036598236746
3.2648712459846596 5.081635297953779
2.531766354150628 4.205656931497719
2.6308032598611737 5.237055037124235
2.4086294928095042 5.193464081227031
3.4237161240620164 4.550767347668167
2.012455451324558 4.5671411696990605
2.7406984730415562 4.188748710958077
2.233431606293917 4.323151844778989
3.462223948591702 4.694048255316485
3.3294704299147138 5.021371444630471
3.301813507954728 5.046756557625684
3.234865550111729 5.097322263639094
2.573479758535568 4.201699733527714
3.30984174164884 5.037180753033329
2.2819359936910013 5.137111351651871
2.017257225665161 4.569547693704398
2.6198720044393347 4.197160307000428
3.3938637801923974 4.5101815457491226
2.474192188792132 5.204951423328337
3.3694058263509015 4.964958832374994
2.7467240492299556 4.194324708036362
2.067318649266642 4.487052054341311
3.42871041440499 4.859860901695598
2.809349434769532 4.198207443021824
3.209840691273867 5.102969362174477
2.4638091555678527 5.198542467327866
2.3597151459792465 5.163488137951736
3.45096032646699 4.726384496103969
2.6104419356477133 4.203405068159721
2.706191197312213 5.227053165159054
3.048218815770378 5.1741075556874705
2.0956440036670765 4.9788998665873185
2.062021271221128 4.507036601957695
2.7789165547355497 5.2233786751093545
2.0130812424469307 4.826379322974459
2.628054132085946 4.204191725659456
2.46517040175249 5.191941053286982
3.0669686334296253 5.163870572373855
3.23144646848726 4.35411558102172
2.066973319708728 4.935063902232013
3.0792910694938174 5.157466858454604
3.052331188713328 4.260467467026268
2.2273682660115623 5.086744125938352
2.864683842599474 5.211883858075375
2.9995413500307953 4.242751205479859
3.2619098134765254 5.053260675966057
3.2501669153586272 5.062021575404153
2.28130201088669 4.313495943698581
2.6327750736262616 5.214628214759233
2.8760630987408975 4.2170582607086295
2.520274984196185 5.197296236166332
2.8421244666605134 5.209683877493339
2.887805152790619 5.203034938292546
2.3641730319122587 4.276068738978588
3.290071014380988 5.020881760054918
2.7801609547227004 5.213349444608804
2.090392475008981 4.949759380739871
2.012858081653479 4.694322667302369
2.167177203748958 4.402751858906049
3.0675632096369454 5.149888222027529
2.7739872821258142 5.21008681594335
3.2708537185436377 4.399645654866626
3.2554423688363037 5.043148603599517
2.291228965812283 4.316656227173052
2.7620675316933645 4.2107707752764565
3.3790735809912373 4.538590557232748
3.0946116687082625 4.290434057839068
2.50973689428827 4.236194846447051
2.1058349071830493 4.952941349946639
3.354209148249298 4.929338035384319
2.6977540186318 4.213849318309343
2.061973719024084 4.553186031209937
2.0809421481537296 4.913276846652296
2.2299117716961363 5.0632074295898954
2.7624756485447053 4.2166754765488
2.2256720963017287 5.05844153214563
3.374033229493709 4.885842019252481
2.4089991130792683 5.1494488112786865
3.3293413995319208 4.95308382694893
2.9823202265798625 5.1649402434312215
3.061647472353097 5.138206571550413
2.31713345031162 4.312785784987775
2.4234669531932576 4.2678707311006585
2.9083813157578264 5.179981678727824
3.3294682450986657 4.481733293438413
2.1458184193631125 4.984073746565926
3.4118333018371456 4.73812877785118
3.2821563428811213 4.428639922992383
2.8038471195261434 5.1924525228047225
2.0912809770982896 4.911271974453884
3.029472400933286 5.144997566668659
2.034777373767014 4.689368525634955
3.3853558930157766 4.588494229547434
2.2167151661554603 4.382362798435032
2.8450922440911293 4.230190695300069
2.7571862203823843 4.224269462336815
2.0483704602040786 4.637233626754556
2.32603607535621 5.101149034172541
2.0883303114413785 4.538801871701791
3.3523537426342553 4.534452990230166
2.51989315393077 4.248065817556961
2.8380375497168853 5.180442028725732
2.91469781156148 5.167419511633722
3.0196079827239686 5.139156025589655
3.1890809059022773 5.057850123231686
2.580805043942348 5.17520906045135
2.570541125241102 5.173505111042278
3.3093372790143945 4.947953843113378
2.0477466866195666 4.7013246262225294
2.1637463621841713 4.444290353701154
2.5098023413948023 5.159095994771858
3.1110269734252247 5.094106552108833
2.57179332795257 5.167998552882742
3.390238880020018 4.736858164667048
2.7125408027851017 5.17827805150549
3.1750833231483973 5.056265448774929
2.7723659956917786 5.175986065459614
2.085410167235974 4.851481029796898
3.209704600399577 5.029278648596414
2.1509324548739164 4.46891743002825
2.083294042661956 4.8446287905243945
2.960960519905323 4.267396978638137
2.221653014357869 5.017804716347093
3.274100810416565 4.9694754549313425
2.398124623701077 5.115145288475769
3.012636722974456 5.126791462055296
2.757742327335688 4.2377386286911936
3.278493396318811 4.959154610911863
3.1489270276501706 4.352488244480822
